Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-10-13,64644.2421875,65119.567497702206,64359.047001378676,64644.2421875,9724086
2023-10-16,63978.796875,65119.57779996285,63503.47148959881,64549.187337481424,12599299
2023-10-17,65975.15625,66450.48158321326,64073.85491714697,64359.05011707493,17299253
2023-10-18,67020.8828125,67020.8828125,65404.77641843972,65499.84150044326,16493184
2023-10-19,66070.2265625,66545.55193345323,65975.16148830936,66260.3567108813,13985012
2023-10-20,65404.76171875,65785.02196130087,64739.306294285976,65499.82677938772,15204495
2023-10-23,65024.50390625,65689.95935558296,64834.37377786915,65309.69909882127,11625959
2023-10-24,65119.58203125,65404.777281021896,64359.0613651916,65309.712197764595,12791710
2023-10-25,64644.2421875,65404.76268382353,64549.17712545956,65404.76268382353,10610703
2023-10-26,63408.390625,64549.17126592953,63408.390625,63693.58578523238,15517624
2023-10-27,63978.796875,63978.796875,63408.40641251857,63788.66672083952,11334726
2023-10-30,63978.796875,64454.122260401185,63408.40641251857,63503.47148959881,10139270
2023-10-31,63598.53125,64929.44221786248,63598.53125,64263.98673393124,14488892
2023-11-01,65214.63671875,65499.8319230594,63978.79083340926,64168.92096961552,13775256
2023-11-02,66260.3671875,66545.562455165,65975.171919835,66545.562455165,16350031
2023-11-03,66165.28125,66735.67160560345,66070.21619073275,66260.34630926725,10322234
2023-11-06,67401.1328125,67401.1328125,65880.09173351551,66355.41707069817,22228489
2023-11-07,67401.1328125,67401.1328125,66545.54720557123,67115.9376101904,17228731
2023-11-08,66450.4921875,67876.46841469957,66260.36202387339,67781.40333288627,12901310
2023-11-09,66830.7421875,67306.06752311523,66165.2867176387,66450.48191900783,12301373
2023-11-10,67020.8828125,67020.8828125,66070.23199246454,66545.55740248227,9684347
2023-11-13,66925.8046875,67781.39025878906,66830.73962402344,67781.39025878906,9246919
2023-11-14,67306.0703125,67591.26552568856,67115.94017037429,67496.20045462571,9567984
2023-11-15,68636.984375,68636.984375,67971.52884781855,68066.59392313019,20148677
2023-11-16,69207.3671875,69397.49731713599,68732.04186341002,68922.17199304601,15860451
2023-11-17,68922.1796875,69397.50506465517,68732.04953663793,68732.04953663793,11494644
2023-11-20,69112.3046875,69397.49989253783,68541.91427742435,68541.91427742435,10610157
2023-11-21,69207.3671875,69777.75757640797,69112.302122682,69492.56238195398,9712881
2023-11-22,69207.3671875,69397.49731713599,68351.78160413804,68636.97679859203,11105143
2023-11-23,68827.109375,69587.6299205801,68636.97923860497,69397.49978418509,6775614
2023-11-24,68161.65625,69017.24189330544,68161.65625,68827.11175034867,6676685
2023-11-27,67781.390625,68541.91113692147,67591.26049701964,67971.52075298036,9113857
2023-11-28,69112.3046875,69112.3046875,67781.39373065681,67876.45879900275,13283081
2023-11-29,69112.3046875,69207.36975584594,68636.97934577029,68827.10948246217,9283933
2023-11-30,69207.3671875,69207.3671875,68636.97679859203,69112.302122682,15783714
2023-12-01,68446.8515625,68922.1769205729,68161.65634765624,68827.11184895833,9871284
2023-12-04,69017.234375,69302.42955836777,68827.10425275483,69207.36449724519,10229267
2023-12-05,67686.3203125,68827.10099192416,67686.3203125,68732.03593530548,12129682
2023-12-06,68161.65625,68541.91653591352,68066.59117852162,68256.72132147838,8123087
2023-12-07,67971.5234375,68351.78370847902,67591.26316652098,68256.71864073427,8862017
2023-12-08,69017.234375,69207.36449724519,68351.77894714188,68541.90906938705,10859463
2023-12-11,69397.5,69397.5,68636.97945205479,69207.3698630137,9861960
2023-12-12,69872.8359375,69872.8359375,69492.57560586734,69682.70577168367,13758646
2023-12-13,69207.3671875,69872.82264122595,69207.3671875,69682.69251158996,13116766
2023-12-14,69492.5546875,70633.33533900479,68922.16436174761,70443.20523042066,27567593
2023-12-15,69682.703125,70348.15868008186,69587.6380457026,70158.02852148704,15419815
2023-12-18,69302.4375,69777.76286008231,69207.37242798354,69682.69778806584,9690551
2023-12-19,69777.7421875,69777.7421875,69207.35192438692,69397.48201209128,8907632
2023-12-20,71108.6875,71203.75259024065,70158.03659759359,70538.29695855615,16870156
2023-12-21,71298.8046875,71298.8046875,70633.34917708334,70918.54439583333,13478766
2023-12-22,72154.3828125,72534.64306447629,71679.05749752965,72059.31774950594,14515608
